data_srlnum,rcrd_tm,x_crdnt,y_crdnt,z_crdnt,yaw_rt,roll_rt,pitch_rt
97,20200909145101.643,0.035156,0.125000,11.238281,-0.077484,-0.035785,-0.064388
98,20200909145101.662,-0.382812,-0.144531,10.113281,-0.077088,-0.035172,-0.065943
99,20200909145101.688,0.085938,-0.679688,11.851562,-0.078075,-0.032956,-0.070600
100,20200909145101.744,-0.199219,0.246094,9.125000,-0.079110,-0.032398,-0.072181
101,20200909145101.764,0.390625,-1.171875,9.457031,-0.080151,-0.031582,-0.073913
102,20200909145101.787,1.250000,-0.746094,8.730469,-0.080151,-0.031582,-0.073913
103,20200909145101.804,0.082031,-1.062500,11.023438,-0.082888,-0.029829,-0.078032
104,20200909145101.830,0.988281,-0.390625,10.054688,-0.084106,-0.028068,-0.082007
105,20200909145101.882,-0.378906,-0.019531,10.398438,-0.084161,-0.027865,-0.082621
106,20200909145101.903,-0.007812,-0.480469,10.171875,-0.084157,-0.027641,-0.083367
107,20200909145101.928,0.191406,0.054688,9.578125,-0.084089,-0.027429,-0.084869
108,20200909145101.948,0.203125,0.011719,9.343750,-0.083820,-0.027770,-0.086969
109,20200909145101.972,-0.042969,-0.214844,10.105469,-0.081132,-0.029816,-0.092379
110,20200909145102.025,0.183594,0.558594,9.683594,-0.080383,-0.030327,-0.093722
111,20200909145102.045,-0.171875,-0.445312,9.824219,-0.079502,-0.030615,-0.095112
112,20200909145102.064,0.128906,0.066406,9.898438,-0.079052,-0.030947,-0.096497
113,20200909145102.090,0.242188,-0.027344,8.601562,-0.078323,-0.031185,-0.099962
114,20200909145102.107,0.191406,-0.355469,9.625000,-0.078162,-0.031117,-0.102105
115,20200909145102.166,-0.343750,-0.171875,10.312500,-0.078006,-0.031020,-0.103477
116,20200909145102.193,0.035156,-0.292969,9.644531,-0.077760,-0.030774,-0.104915
117,20200909145102.218,-0.621094,-0.429688,10.054688,-0.077724,-0.030673,-0.105607
118,20200909145102.233,0.132812,-0.246094,9.832031,-0.077793,-0.030691,-0.107046
119,20200909145102.252,-0.156250,-0.531250,9.382812,-0.077731,-0.031062,-0.111268
120,20200909145102.305,0.156250,-0.386719,9.390625,-0.077738,-0.031064,-0.112720
121,20200909145102.334,-0.050781,-0.207031,10.097656,-0.077819,-0.031025,-0.114098
122,20200909145102.353,-0.699219,-0.648438,9.785156,-0.077544,-0.030902,-0.115467
123,20200909145102.376,-0.539062,-0.343750,9.640625,-0.077126,-0.031508,-0.121070
124,20200909145102.394,-0.445312,-0.218750,9.328125,-0.076722,-0.031669,-0.122448
125,20200909145102.451,-0.828125,-0.113281,8.414062,-0.076308,-0.032141,-0.123852
126,20200909145102.469,-0.695312,-0.312500,9.710938,-0.075791,-0.032528,-0.125236
127,20200909145102.483,-0.785156,-0.695312,10.320312,-0.075482,-0.032804,-0.125938
128,20200909145102.506,-0.476562,0.039062,9.328125,-0.074985,-0.033384,-0.127329
129,20200909145102.526,-0.945312,-0.175781,9.476562,-0.074024,-0.034716,-0.130742
130,20200909145102.563,-0.710938,-0.167969,9.878906,-0.073986,-0.035210,-0.132211
131,20200909145102.584,-0.566406,-0.417969,9.941406,-0.073845,-0.035655,-0.134345
132,20200909145102.605,-0.527344,-0.109375,9.460938,-0.073845,-0.035655,-0.134345
133,20200909145102.634,-0.566406,0.132812,8.980469,-0.073831,-0.035780,-0.135787
134,20200909145102.652,-0.695312,-0.183594,9.906250,-0.074154,-0.035794,-0.137231
135,20200909145102.705,-1.089844,-0.078125,9.976562,-0.075096,-0.035361,-0.140671
136,20200909145102.728,-0.875000,-0.148438,10.343750,-0.075570,-0.034971,-0.142043
137,20200909145102.748,-0.718750,-0.007812,10.578125,-0.076116,-0.034538,-0.143341
138,20200909145102.772,-0.292969,-0.332031,10.000000,-0.077239,-0.033769,-0.145200
139,20200909145102.789,-0.902344,-0.171875,9.757812,-0.077612,-0.033515,-0.145759
140,20200909145102.843,-0.738281,-0.148438,9.953125,-0.080368,-0.031595,-0.149154
141,20200909145102.858,-0.496094,0.363281,10.933594,-0.081896,-0.030360,-0.150685
142,20200909145102.884,-0.476562,-0.023438,10.378906,-0.083160,-0.028885,-0.152068
143,20200909145102.910,-0.527344,0.218750,10.261719,-0.083653,-0.028345,-0.152556
144,20200909145102.929,-0.316406,-0.050781,10.914062,-0.084461,-0.027226,-0.153515
145,20200909145102.982,-0.527344,0.136719,9.910156,-0.086870,-0.024766,-0.155800
146,20200909145103.002,-0.753906,0.007812,10.546875,-0.088386,-0.023529,-0.157130
147,20200909145103.029,-0.750000,0.246094,9.570312,-0.089257,-0.022982,-0.158098
148,20200909145103.045,-0.589844,-0.019531,9.898438,-0.089785,-0.022548,-0.159091
149,20200909145103.065,-0.691406,0.097656,10.484375,-0.089950,-0.022373,-0.159576
150,20200909145103.120,-0.835938,0.074219,10.570312,-0.089967,-0.022290,-0.160076
151,20200909145103.142,-0.710938,0.226562,9.707031,-0.090375,-0.023970,-0.164638
152,20200909145103.158,-0.191406,-0.015625,9.933594,-0.090177,-0.024628,-0.165672
153,20200909145103.183,-0.332031,0.246094,9.640625,-0.089969,-0.025347,-0.166696
154,20200909145103.204,-0.324219,0.187500,9.339844,-0.088982,-0.026231,-0.168725
155,20200909145103.255,-0.710938,0.316406,10.542969,-0.088454,-0.026386,-0.169732
156,20200909145103.275,-0.410156,0.113281,9.445312,-0.088139,-0.026765,-0.172237
157,20200909145103.292,-0.601562,-0.113281,9.253906,-0.088078,-0.026768,-0.173243
158,20200909145103.319,-0.617188,0.433594,9.093750,-0.087790,-0.026095,-0.175702
159,20200909145103.335,-0.828125,0.093750,10.515625,-0.087652,-0.025860,-0.176133
160,20200909145103.384,-0.957031,0.187500,9.394531,-0.087692,-0.025092,-0.178089
161,20200909145103.398,-0.867188,0.246094,10.058594,-0.087858,-0.024892,-0.179089
162,20200909145103.423,-0.570312,0.031250,9.433594,-0.087731,-0.024027,-0.182416
163,20200909145103.445,-0.820312,0.105469,10.070312,-0.087407,-0.023795,-0.183337
164,20200909145103.461,-0.914062,0.585938,10.265625,-0.087155,-0.023515,-0.184257
165,20200909145103.522,-0.792969,0.109375,10.203125,-0.087720,-0.023210,-0.186551
166,20200909145103.541,-0.792969,0.324219,9.988281,-0.088188,-0.022764,-0.188777
167,20200909145103.559,-0.984375,0.050781,10.078125,-0.088353,-0.022567,-0.189705
168,20200909145103.586,-0.320312,-0.027344,10.453125,-0.088956,-0.021728,-0.191544
169,20200909145103.606,-0.914062,0.242188,11.406250,-0.089324,-0.021135,-0.192444
170,20200909145103.654,-0.703125,0.265625,10.179688,-0.091305,-0.018959,-0.195278
171,20200909145103.673,-0.871094,0.199219,10.035156,-0.092001,-0.017929,-0.196232
172,20200909145103.692,-0.789062,-0.355469,10.328125,-0.092049,-0.017352,-0.196769
173,20200909145103.718,-0.789062,0.031250,9.750000,-0.092349,-0.016766,-0.197236
174,20200909145103.740,-0.613281,0.089844,10.507812,-0.092551,-0.015698,-0.198254
175,20200909145103.792,-0.191406,0.246094,9.753906,-0.092491,-0.014705,-0.199263
176,20200909145103.820,-0.476562,0.082031,10.019531,-0.091405,-0.013196,-0.201810
177,20200909145103.838,-0.312500,0.156250,9.824219,-0.090871,-0.013045,-0.202865
178,20200909145103.856,-0.664062,0.097656,9.890625,-0.090723,-0.013177,-0.203422
